Images,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10,LM11
97,1.16544,2.20129,1.76807,1.31971,0.8863,1.62132,0.39274,1.81552,1.79464,1.98743,2.25913
98,2.63604,2.78114,2.18736,3.67328,2.01395,0.11699,0.74385,1.15539,1.20246,2.1784,2.18991
99,3.04172,2.3877,2.04264,1.89512,0.53389,6.58655,7.21136,6.07073,5.97947,2.96067,3.36182
100,0.11513,1.69821,1.69808,0.50786,0.62199,1.53747,0.82682,0.71026,2.91122,1.41721,0.36746
101,1.48991,2.31082,1.61217,1.73467,2.52918,0.3772,0.60779,1.59238,1.03494,0.69835,1.50145
102,1.67487,0.34326,0.2176,0.60343,0.89801,1.56539,2.52566,1.16581,3.24498,1.05541,1.477
103,0.48089,1.59479,0.29041,1.07678,2.4007,2.11979,1.18909,0.87744,2.18592,0.94037,0.86821
104,1.12709,1.35715,1.83948,0.46198,2.15566,1.95006,1.53653,3.44041,5.0893,2.48996,1.31309
105,0.89644,0.7885,0.68501,0.46633,2.50063,2.83157,2.23076,0.85067,1.05318,1.3655,1.87104
106,1.78961,0.43906,1.47128,0.95364,1.04533,0.30844,1.43065,1.58897,0.83886,1.15396,1.52806
107,0.69122,0.29722,0.37442,1.3663,0.50107,2.36421,1.67735,4.39513,4.44503,1.46929,1.36669
108,2.67627,2.89977,3.06827,4.27559,3.87464,2.92342,3.25303,2.54518,1.47187,5.08034,3.83686
109,2.29475,0.87196,1.22309,0.95121,0.38944,2.78372,1.92849,1.94203,3.19062,2.81714,1.59428
110,1.88019,2.62302,3.26574,2.18523,3.48021,2.52095,3.83627,3.53949,2.18665,2.32916,1.93697
111,1.03061,0.39424,0.97988,0.91937,0.739,2.1751,1.42462,1.18167,2.83429,1.13942,0.47066
112,1.88246,0.67466,0.6615,0.66069,1.16911,1.03935,1.49058,1.84155,1.32143,1.54752,1.58751
113,2.48778,2.57233,2.99001,2.77888,2.47108,1.66279,1.49142,2.73972,1.50227,1.43459,2.43951
114,2.26367,2.99099,2.66823,2.06151,1.85008,5.7679,7.09071,1.27888,1.35839,2.05706,2.29862
115,0.74251,1.48065,0.37855,0.92702,2.87644,4.40894,5.51002,4.38799,4.49774,1.24261,1.24094
116,1.67909,2.6635,1.66958,1.92637,2.48386,3.19473,2.84595,3.20817,1.51449,3.16382,2.6877
117,0.75008,0.67187,1.06877,0.56403,0.59943,0.4282,2.38846,1.54199,0.85008,0.2352,1.10745
118,1.53857,0.33828,0.4853,0.15719,0.92298,1.39483,1.97669,1.55697,0.50875,1.25539,1.1799
119,1.62806,0.76996,1.83158,0.8632,0.46641,2.37716,1.43451,0.37758,1.97452,1.44828,1.28835
120,3.38976,0.58325,1.12913,0.77074,1.55781,2.64362,3.83244,7.31847,8.75269,2.11727,1.48582
121,1.21,1.99529,2.41247,2.23177,3.30039,2.40826,1.0159,2.59103,1.00921,1.69724,2.70826
122,1.86618,0.99174,0.56334,1.42343,0.75958,2.93043,3.07025,1.73317,3.7088,1.53471,0.29542
123,1.77834,0.64666,0.78536,1.01952,1.80759,1.03467,2.02674,1.90884,2.55025,0.94206,1.70881
124,3.45333,3.7747,0.93826,2.19625,2.72867,7.99479,8.23401,6.9934,6.30913,2.11968,2.20472
125,2.04586,3.04319,2.40926,1.02575,0.48468,1.74193,1.3225,1.22797,0.54843,1.71142,1.47269
126,4.38589,3.3316,3.17192,2.7211,2.25362,3.11356,5.287,3.50122,3.13164,5.01563,4.11367
127,1.05644,0.95836,1.14821,0.55136,0.41705,1.9622,2.87589,0.99312,0.94474,0.93943,0.61443
128,2.95709,0.7632,3.09444,1.99919,3.14226,3.07817,2.12686,2.69334,2.07818,1.29866,2.90181
129,1.75658,2.05115,0.66617,0.53863,1.98144,2.62118,1.87571,1.88644,0.43768,0.88998,0.93453
130,1.30464,1.52108,1.14717,1.42816,3.87715,3.25607,6.32436,2.79492,3.11111,0.69618,1.11086
131,1.80874,0.99096,1.29312,1.77238,1.5581,2.98654,2.7189,2.73073,1.3428,0.81182,0.14892
132,0.31611,0.73839,0.31545,0.28248,0.96328,3.58123,3.44022,3.44836,3.55218,0.94756,0.79331
133,1.94447,2.30795,3.72202,1.73766,1.1083,2.62485,3.57734,3.05997,3.59422,3.79627,2.64876
134,1.93772,1.58411,1.35683,1.70856,0.58416,1.74089,2.91102,2.53521,4.04123,2.29351,1.44291
135,2.07374,0.83621,1.75627,0.5732,0.80069,2.82758,2.07508,2.26682,4.86749,0.96604,1.1406
136,3.56339,3.53344,4.64928,3.09897,4.6888,3.37498,2.40095,2.79018,5.62564,3.01887,2.298
137,1.78671,0.63283,1.26867,1.46996,1.07155,0.31714,0.95106,1.99529,1.06187,1.91689,1.64093
138,1.94697,1.6498,2.32179,2.87129,2.20297,2.26209,2.19848,2.91143,3.67825,1.7721,1.41682
139,1.56403,1.12748,0.34666,1.27836,1.15686,1.87058,3.25743,3.94057,2.38867,1.46881,1.67212
140,0.83386,1.38418,1.3802,0.35308,1.42582,1.32064,1.41458,1.74323,3.66837,2.36878,1.46502
141,1.10421,0.66345,0.71975,0.67237,0.64951,5.41388,6.46606,7.60988,7.35458,2.10021,1.26044
142,7.62996,10.47631,4.87438,6.74012,8.537,10.78396,11.64394,8.66495,7.74958,4.98121,7.41699
143,5.05439,4.83986,6.05509,3.76283,2.68256,2.86598,4.71306,3.15936,5.84733,5.86733,4.01719
144,2.21374,1.10594,2.23805,0.84039,1.97585,6.83281,6.19821,9.34418,7.60937,4.2727,1.79924
145,2.18465,3.06653,2.10596,2.83992,0.88206,1.434,3.14624,1.17912,2.7858,1.49858,3.23209
146,3.3144,2.78053,1.21581,3.03335,3.16293,0.31407,1.34858,0.92019,2.75069,3.55278,3.18337
