Images,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10
79,1.34882,2.91646,2.75122,0.83499,2.45764,4.74585,1.42212,1.76855,0.40438,1.33797
80,2.14753,2.13551,3.43502,0.64138,3.52979,0.33032,3.23995,3.94456,3.73979,1.98328
81,2.13556,1.92574,2.92389,1.44448,0.74505,0.67051,0.66821,3.08054,1.79506,3.18118
82,3.40626,2.93555,3.60158,3.18318,3.76404,0.59975,3.94175,2.86849,5.24255,2.21706
83,2.10022,2.39365,2.51384,2.67377,1.53109,2.05069,1.89389,2.30843,2.84515,1.32112
84,2.70445,0.92087,4.51239,3.80747,1.02807,5.78579,3.77397,2.32791,3.80283,2.51965
85,2.90891,2.41293,3.21024,4.2098,2.72611,2.03337,3.61532,1.70321,2.57637,2.4507
86,4.52888,2.18834,4.19467,1.79861,4.02237,2.84547,3.1254,3.99077,2.1888,2.5521
87,1.278,3.24013,3.77274,2.8291,4.07507,3.7542,2.23794,2.26618,3.39458,1.5491
88,0.75723,1.53854,0.65586,1.22086,2.53001,1.66704,1.05474,0.20732,0.3395,1.56526
89,0.91569,1.75049,1.15658,0.62843,1.12185,1.45582,0.23475,0.46953,1.97537,1.43338
90,1.08645,2.04308,1.94744,1.77473,1.33602,1.0184,0.88991,1.489,0.64412,0.71044
91,1.14633,2.40481,1.81357,2.30114,0.39291,1.29518,1.45302,2.4941,2.07922,1.90868
92,2.35891,1.92162,0.17008,2.24699,2.96052,3.25561,0.97285,0.97392,0.52158,0.80271
93,2.38839,2.27973,1.78496,0.65094,0.9034,0.69243,1.04665,2.19408,2.73783,1.42068
94,0.65615,1.27779,2.39395,1.07344,1.32678,2.33665,0.22633,1.46998,1.42293,3.1679
95,4.62531,3.88888,5.25396,3.62073,3.66025,2.67368,2.96513,3.64984,3.52436,2.16514
96,1.62474,3.81039,1.74803,1.4043,4.29871,1.68662,1.64985,1.59798,2.36069,2.04711
97,1.19662,0.64354,1.7758,1.5844,1.62829,1.93821,1.75966,1.82954,0.83785,2.5419
98,4.0456,1.15721,4.51103,2.36985,4.18264,1.51394,5.38,1.47811,3.61368,1.32867
99,1.95106,1.47791,3.1018,1.66124,4.75674,2.17455,3.29554,1.30953,3.67356,0.69074
