Images,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8
147,2.52762,0.4651,1.91108,1.84185,1.52128,2.8035,3.69515,2.59393
148,1.2185,0.99192,2.04201,3.87573,4.49988,5.52446,5.78889,2.56023
149,0.76756,1.00058,1.78765,2.10459,2.3065,2.1825,0.863,1.86062
150,5.32084,0.60654,1.33307,5.23332,4.42812,5.62815,2.41669,4.92721
151,1.4673,1.30427,1.3346,0.50289,0.60018,3.31893,2.43575,2.48966
152,3.36753,2.6417,5.05539,1.74788,2.44341,1.42052,3.06045,2.89124
153,3.26186,4.3475,4.04298,4.62284,3.35098,0.63584,2.25933,3.14699
154,1.96204,7.41993,1.87094,2.15683,0.27163,1.92876,0.47645,9.13587
155,2.53091,2.90318,1.75723,3.40095,2.11385,3.22137,1.70905,1.38088
156,2.91728,0.91933,1.90351,0.67123,1.08815,0.91111,1.67926,4.82453
157,2.51539,2.06925,2.22356,0.58558,1.11216,2.19126,0.58842,1.57731
158,2.24941,0.08017,1.78125,1.5316,0.80244,2.1834,0.89888,2.45003
159,1.36588,1.55052,1.90738,4.18509,3.27388,2.96452,3.40076,4.74577
160,2.21692,2.97846,3.90618,1.30708,0.54423,1.75419,1.27825,2.70834
161,1.93842,3.56556,2.49948,2.72869,1.53276,1.14033,1.98518,1.7398
162,3.03579,0.40889,3.07553,1.81113,2.67963,3.48278,2.06948,1.68052
163,1.56923,2.64995,3.36416,2.38921,0.70338,4.08546,2.856,1.83111
164,1.18679,1.74227,0.34061,0.91962,1.06829,0.44023,0.27659,0.63133
165,1.20793,0.94428,1.79232,2.02677,0.50298,0.7961,1.51469,0.64387
166,3.48434,3.51344,3.95129,0.73363,1.81946,5.36381,5.44816,3.95464
167,1.47738,3.12353,1.28107,2.97876,1.08161,3.91106,1.67763,3.13235
168,1.37519,1.01159,2.63678,1.24418,0.31935,0.64215,2.55551,1.88199
169,3.27401,1.79347,1.1297,3.12048,5.13201,6.59343,3.75313,4.03251
170,7.32987,8.94078,11.57654,10.31086,7.69756,7.65371,2.21604,4.26755
171,3.4381,3.60074,3.15836,5.49334,4.04776,3.63205,1.89723,0.89703
172,1.64681,2.50006,3.00433,1.38758,0.70729,4.29108,1.28256,1.66631
173,1.35417,4.55035,4.00001,3.85752,1.0928,4.4571,2.44911,1.62274
174,1.35281,2.39646,2.72666,1.4795,1.12148,1.51187,2.17012,3.01356
175,4.74797,1.8262,2.62095,0.78143,1.71882,1.45734,1.2007,3.05712
176,4.19518,5.75916,2.31665,0.5889,2.2924,3.65824,3.38845,3.83616
177,4.70021,4.60176,1.32016,1.8878,1.39066,3.57064,1.43686,1.21929
178,4.33961,4.91496,3.94116,2.60799,0.91071,3.67509,2.52273,2.58975
179,3.6899,2.84933,2.19138,2.14513,0.0872,1.25179,3.77131,3.24185
180,2.54973,1.85641,4.61391,1.25333,2.67138,2.68427,4.57113,6.08326
181,1.81125,1.39682,1.4327,2.82008,4.05892,5.15018,1.02098,2.29737
182,1.32369,0.58989,1.12516,1.59956,2.11553,4.34172,1.98754,1.58711
183,1.52384,5.81455,1.73542,1.38319,1.12146,4.01695,1.02783,1.47031
184,2.8531,3.81359,3.28836,4.57949,2.29015,3.42401,1.82196,0.78251
185,2.27294,3.29438,1.72672,0.64674,3.44723,4.48741,2.4675,4.20047
186,3.72192,3.56414,4.7528,3.23876,0.9824,2.60536,3.33606,3.95273
187,1.45695,4.73846,6.95716,9.79414,7.88945,5.30341,1.30769,2.17741
188,1.99679,2.9028,4.42139,2.77295,1.29343,0.22203,1.0828,1.38614
189,0.59652,1.20032,3.21779,2.87133,1.80149,2.2184,2.70057,1.67217
190,3.69651,5.6299,6.79531,2.32814,2.85422,1.23207,3.90958,3.80235
191,2.5377,2.28033,0.79974,1.31422,2.03669,2.32774,4.58649,2.83947
192,3.80754,3.48994,1.40623,3.1131,4.11948,5.00066,2.63739,3.11861
193,1.22254,1.50043,2.00531,0.3218,2.79077,5.65401,0.98486,0.82588
194,1.28962,2.44316,2.95636,3.14682,1.87838,0.21104,2.33715,1.43332
195,1.93808,2.08177,3.33631,4.24839,0.92406,0.92007,0.35047,1.93917
196,0.18168,1.15195,2.43462,4.85485,3.98469,4.28957,4.50065,3.11885
197,0.69696,2.09819,2.41088,0.54227,2.12794,3.52248,1.32601,1.2418
198,4.7213,4.78971,4.29661,3.84698,2.9563,1.82196,3.73175,3.64349
199,1.24814,0.27023,0.57181,6.84795,3.90624,1.91881,3.10773,2.41001
200,1.24804,5.04251,3.82972,4.19107,1.56708,2.96915,0.5499,1.51877
201,3.71337,4.12857,1.75518,1.98252,1.12997,5.00921,2.48805,4.71836
202,3.56415,3.809,3.41564,2.10623,6.34749,4.87159,4.61507,4.43491
203,1.51064,1.33426,0.50883,3.35532,3.6462,5.72152,2.03779,2.19112
204,10.22033,15.82965,10.72642,17.75778,9.03775,3.49659,6.24334,5.80445
205,4.06261,3.39655,5.74466,6.25385,4.97314,3.54749,5.11368,5.23797
206,0.6129,1.40121,0.87279,4.62647,3.11451,2.0366,0.74741,2.06703
207,1.29633,4.827,3.65173,1.06842,3.00744,9.35787,2.76712,3.23774
208,2.38067,2.74229,4.29961,4.84228,2.95141,0.64698,2.51582,2.97435
209,1.1074,5.50153,7.11703,3.99161,5.1434,5.048,4.6946,2.44226
210,4.2356,2.08179,3.32598,5.54126,4.20888,4.52887,2.57135,5.21922
211,2.70182,1.17869,1.93601,0.96328,1.53295,2.82838,4.9118,4.71902
212,2.79139,2.71296,2.39136,4.10977,3.65962,2.58676,3.12388,2.53618
213,4.04442,4.56165,5.44763,1.51168,5.56798,10.6563,10.94392,8.58649
214,4.42043,1.99651,1.83868,4.17841,5.39556,6.47025,3.30751,3.96396
215,8.78752,10.35757,14.02313,6.84092,0.09505,2.69063,10.90099,6.80757
216,1.67506,3.4409,1.14951,2.78697,0.86973,2.40014,2.03197,2.57846
217,6.60034,4.74775,4.56557,5.12082,8.291,12.19532,9.36957,7.77961
218,1.24751,2.94349,2.43911,3.57692,3.84071,5.2293,4.70133,4.94714
219,1.73884,3.68158,4.47206,6.41274,1.25132,2.39922,1.3092,0.87438
220,4.96133,2.19175,5.68649,2.63657,0.20202,5.00124,7.1713,5.94129
221,2.65972,3.33545,2.90297,4.26746,1.94598,1.48253,2.17174,1.52167
222,7.91859,8.63099,8.49013,5.19489,2.02508,5.72635,10.17707,9.30704
223,4.4921,2.06E+00,1.94934,1.23113,1.8095,4.52466,2.16435,2.80994
224,6.22307,3.48466,3.37147,3.89782,2.07457,2.76432,7.45446,9.50912
225,2.25896,5.71776,3.96349,2.37887,2.0807,2.31919,4.42392,2.04209
226,5.42419,3.82437,4.37091,5.46857,2.5316,3.39616,2.32188,3.42349
227,3.22815,3.0561,3.20725,2.87353,4.24648,7.30853,8.45991,11.05779
228,0.90564,2.15674,4.60868,8.74097,3.62402,0.5853,2.38892,3.91387
229,2.12415,1.07997,3.30784,5.70029,1.0814,5.98735,0.94538,1.14053
230,6.42126,3.01997,1.40202,8.93807,3.77286,6.87163,5.14401,3.63068
231,7.47798,7.85544,8.06954,5.54326,6.02028,1.70461,6.55476,7.45552
232,3.1932,2.03084,1.19807,3.21994,1.96456,1.76746,1.85898,2.59321
233,1.79064,2.6138,1.30466,4.49206,2.02339,1.04653,2.37042,2.34987
