Images,LM1,LM2,LM3,LM4,LM7,LM8,LM9,LM10
145,3.03142,3.80669,4.5905,4.64356,5.40207,4.30852,4.14371,4.8639
146,0.9137,2.89931,1.6477,2.64635,3.9273,3.60012,3.27484,3.52791
147,0.96771,0.42892,4.41039,1.73389,1.22644,1.37446,0.6751,1.10366
148,1.48946,2.22173,2.51683,1.33749,0.94194,1.45324,1.01176,1.94856
149,4.02498,1.24007,1.78104,2.93957,6.4733,4.15156,8.14878,8.0844
150,2.46913,4.37377,1.55833,5.10004,1.57872,1.73297,2.32294,3.17223
151,1.11634,0.23661,1.658,0.43495,1.40706,1.03586,1.86844,1.79711
152,1.19395,0.93895,3.46449,1.04989,3.60285,1.91998,5.48865,2.51623
153,1.48944,3.06858,1.87136,3.90066,0.26019,1.19615,3.512,1.9935
154,8.49185,5.16145,6.22383,4.85861,6.71567,4.74359,5.60317,5.83919
155,3.63572,5.18314,4.20008,1.92338,2.9921,0.74587,1.8895,1.60078
156,2.94426,1.99302,1.98026,1.81838,0.52327,0.46782,0.32958,0.94644
157,1.08753,3.96207,1.42999,3.20151,1.70572,1.18376,3.78706,0.65937
158,1.7444,1.86927,3.71061,0.42884,3.26469,2.73179,4.00244,2.44539
159,1.4824,2.34191,0.97026,1.89428,2.09459,0.93846,1.89772,2.1927
160,1.26303,1.49875,1.58556,1.08641,1.27166,2.25953,2.78894,1.49615
161,4.25192,2.38764,3.87321,2.15625,2.30089,1.15104,0.96268,1.8851
162,4.16546,5.41645,3.8998,3.35482,2.64053,0.53064,5.74111,2.09112
163,1.62807,1.8975,3.76078,1.59244,2.48602,2.04314,1.61613,1.75131
164,2.75628,3.86888,1.32662,2.09172,0.82388,1.92684,2.19236,1.50468
165,1.59765,2.30883,1.26847,1.35994,0.63932,0.9856,0.11362,2.0635
166,2.52449,2.42881,1.71045,0.89749,0.54659,1.13925,0.6936,1.51934
167,2.72526,2.52369,2.43734,2.7287,1.5883,0.87609,2.88145,0.58838
168,0.66404,0.81269,0.63835,1.77437,0.84258,0.93444,0.59056,3.45242
169,2.08251,2.72015,3.42255,4.82815,2.49468,2.23679,0.59895,1.11945
170,2.19902,2.522,1.6169,5.96391,0.7537,2.77184,1.0363,2.27081
171,1.45982,5.83686,2.57587,3.86771,3.00361,3.85135,1.98553,3.84973
172,2.03054,1.08716,2.89525,1.85406,1.12,2.19606,0.98924,1.16187
173,1.04868,1.36304,1.98911,0.72204,1.17138,3.10495,3.06961,2.05145
174,4.38288,5.36346,2.30436,3.2204,2.18421,2.38526,2.06566,2.00722
175,3.43437,3.17185,3.1996,3.23345,2.06404,1.29696,0.92678,1.31176
176,3.51327,1.13415,3.62001,0.63254,3.36755,3.0058,4.21322,2.83672
177,0.89086,1.05718,1.43307,1.26891,1.0141,2.26172,2.42845,0.4643
178,2.04551,1.64056,3.01874,2.865,2.53296,1.5862,1.67871,0.96967
179,3.4748,2.0353,3.31647,2.38564,1.63266,1.43512,2.49892,0.85007
180,3.63695,0.35253,6.32329,2.47582,3.41004,3.53099,5.00145,3.58826
181,5.78288,4.49007,5.58446,5.11986,1.59555,2.67234,0.43335,1.33908
