Images,LM2,LM3,LM4,LM5,LM7,LM8,LM10,LM11
116,3.367,4.32072,3.30456,2.62319,4.58486,3.25286,5.40247,4.26737
117,0.7425,0.98048,0.3954,1.00023,2.68587,1.84089,0.89927,1.37319
118,1.10734,0.91979,0.62461,0.22453,1.4067,1.07939,0.75905,1.11388
119,1.72844,2.09536,2.48497,1.5375,1.0723,1.18149,3.0297,2.93902
120,0.62018,1.51561,1.39074,0.33793,4.45763,8.91657,1.66733,1.28025
121,2.67854,4.19207,3.06096,3.3531,0.28023,2.97324,2.3351,3.4566
122,0.44985,1.96903,1.21469,2.23051,4.28486,3.25598,2.52126,1.41464
123,0.75683,0.57452,1.0101,1.00002,2.38495,3.57593,1.7029,0.15603
124,2.50191,1.94048,1.02957,1.84154,9.8935,8.57834,1.12413,0.99892
125,2.4714,2.73792,1.22405,1.52536,1.09283,1.12758,1.77966,2.24881
126,1.92937,1.9078,1.84599,0.32497,4.53345,1.79488,3.41919,2.46488
127,1.84561,0.28218,0.62259,0.32424,2.99432,1.82956,0.38682,0.79024
128,0.71355,3.66809,2.08696,2.391,1.11938,3.3671,0.95396,3.62059
129,1.45676,1.24957,0.54048,1.47664,1.64888,1.40987,0.62574,1.71678
130,2.292,1.57434,2.54213,3.80248,7.73823,4.12117,1.82251,1.81774
131,2.81305,2.49022,2.99079,1.59126,2.9243,3.75187,2.93916,1.30622
132,1.39872,0.94285,0.73348,0.91363,3.67382,4.10705,1.31231,0.86562
133,2.81815,3.77498,2.0533,2.17555,3.55784,3.85001,4.33344,2.96773
134,0.82475,1.46777,2.1671,0.77323,2.27263,1.1916,1.62974,1.23186
135,1.6096,2.60805,0.61528,1.38083,1.94324,2.00415,1.20536,0.98572
136,4.09178,4.53506,4.07473,4.72006,1.65979,2.23995,3.43292,3.23538
137,0.77558,1.09558,1.55543,1.10453,1.49631,2.28816,1.57092,1.63309
138,2.2951,2.26203,2.84921,2.60716,2.16936,3.14677,1.54652,1.30844
139,1.19492,1.19393,0.24613,1.83051,2.72323,3.15989,2.01927,1.33033
140,1.30942,1.82524,0.64097,0.6871,1.42776,2.21362,2.50821,1.60421
141,0.52374,1.32051,0.70301,1.00391,5.38275,6.9686,2.04226,0.84897
142,10.17128,5.45217,8.0208,8.4275,12.4069,8.74674,5.03267,7.7038
143,6.11666,7.37845,5.05981,3.24217,4.64695,3.71161,5.90904,3.95095
144,0.78623,2.25208,0.57387,1.75805,5.79282,9.16496,3.13904,1.3225
